table,seq,column,is_pk,is_fk,type,width,description,id
businesses,1,ogc_fid,1,,INTEGER,,,c00N01001
businesses,2,objectid,,,INTEGER64,9,,c00N01002
businesses,3,apn,,,TEXT,254,,c00N01003
businesses,4,bcccode,,,TEXT,254,,c00N01004
businesses,5,ownnam1,,,TEXT,254,,c00N01005
businesses,6,ownnam2,,,TEXT,254,,c00N01006
businesses,7,ownnam3,,,TEXT,254,,c00N01007
businesses,8,careof,,,TEXT,254,,c00N01008
businesses,9,strnum,,,NUMERIC,19,,c00N01009
businesses,10,strfra,,,TEXT,254,,c00N0100a
businesses,11,strdir,,,TEXT,254,,c00N0100b
businesses,12,strnam,,,TEXT,254,,c00N0100c
businesses,13,strtyp,,,TEXT,254,,c00N0100d
businesses,14,strsrm,,,TEXT,254,,c00N0100e
businesses,15,city,,,TEXT,254,,c00N0100f
businesses,16,state,,,TEXT,254,,c00N0100g
businesses,17,contry,,,TEXT,254,,c00N0100h
businesses,18,zipcd1,,,NUMERIC,19,,c00N0100i
businesses,19,zipcd2,,,NUMERIC,19,,c00N0100j
businesses,20,loccod,,,TEXT,254,,c00N0100k
businesses,21,loccod1,,,NUMERIC,19,,c00N0100l
businesses,22,locfra,,,TEXT,254,,c00N0100m
businesses,23,locdir,,,TEXT,254,,c00N0100n
businesses,24,locnam,,,TEXT,254,,c00N0100o
businesses,25,loctyp,,,TEXT,254,,c00N0100p
businesses,26,locsrm,,,TEXT,254,,c00N0100q
businesses,27,loccit,,,TEXT,254,,c00N0100r
businesses,28,bustype,,,TEXT,254,,c00N0100s
businesses,29,imp,,,TEXT,254,,c00N0100t
businesses,30,pp,,,TEXT,254,,c00N0100u
businesses,31,yr,,,TEXT,254,,c00N0100v
businesses,32,tbl,,,TEXT,254,,c00N0100w
businesses,33,x_coord,,,NUMERIC,19,,c00N0100x
businesses,34,y_coord,,,NUMERIC,19,,c00N0100y
businesses,35,address,,,TEXT,50,,c00N0100z
