table,seq,column,is_pk,is_fk,type,width,description,id
reservations,1,id,1,,INTEGER,,,t02801
reservations,2,r_code,,,VARCHAR,4,,c02801002
reservations,3,ind_name,,,VARCHAR,60,,c02801003
reservations,4,ind_source,,,VARCHAR,30,,c02801004
reservations,5,ind_entity,,,VARCHAR,150,,c02801005
reservations,6,region_nam,,,VARCHAR,16,,c02801006
reservations,7,mail_name,,,VARCHAR,50,,c02801007
reservations,8,street,,,VARCHAR,60,,c02801008
reservations,9,city,,,VARCHAR,60,,c02801009
reservations,10,state,,,VARCHAR,2,,c0280100a
reservations,11,zip,,,VARCHAR,5,,c0280100b
reservations,12,phone,,,VARCHAR,10,,c0280100c
reservations,13,fax,,,VARCHAR,10,,c0280100d
reservations,14,elink,,,VARCHAR,100,,c0280100e
reservations,15,treaty,,,VARCHAR,60,,c0280100f
reservations,16,tribal_est,,,VARCHAR,100,,c0280100g
reservations,17,gov_type,,,VARCHAR,100,,c0280100h
reservations,18,econ_sourc,,,VARCHAR,100,,c0280100i
reservations,19,gaming,,,VARCHAR,1,,c0280100j
reservations,20,med_fac,,,VARCHAR,100,,c0280100k
reservations,21,shape_area,,,REAL,19,,c0280100l
reservations,22,shape_len,,,REAL,19,,c0280100m
reservations,23,geometry,,,MULTIPOLYGON,,,c0280100n
,,,,,,,,
sra,1,id,1,,INTEGER,,,t02802
sra,2,sra,,,INTEGER,4,,c02802002
sra,3,name,,,VARCHAR,30,,c02802003
sra,4,geometry,,,POLYGON,,,c02802004
,,,,,,,,
municipal,1,id,1,,INTEGER,,,t02803
municipal,2,name,,,VARCHAR,20,,c02803002
municipal,3,code,,,VARCHAR,3,,c02803003
municipal,4,shape_area,,,REAL,19,,c02803004
municipal,5,shape_len,,,REAL,19,,c02803005
municipal,6,geometry,,,POLYGON,,,c02803006
,,,,,,,,
publicsafety,1,id,1,,INTEGER,,,t02804
publicsafety,2,code,,,VARCHAR,2,,c02804002
publicsafety,3,agency,,,VARCHAR,3,,c02804003
publicsafety,4,agency_des,,,VARCHAR,30,,c02804004
publicsafety,5,code_desc,,,VARCHAR,30,,c02804005
publicsafety,6,shape_area,,,REAL,19,,c02804006
publicsafety,7,shape_len,,,REAL,19,,c02804007
publicsafety,8,geometry,,,MULTIPOLYGON,,,c02804008
