table,seq,column,is_pk,is_fk,type,size,width,description,id
parcels,1,id,1,,INTEGER,,,,t00Q01
parcels,2,apn,,,VARCHAR,10,10,,c00Q01002
parcels,3,apn_8,,,VARCHAR,8,8,,c00Q01003
parcels,4,parcelid,,,INTEGER,7,10,,c00Q01004
parcels,5,fractint,,,REAL,,19,,c00Q01005
parcels,6,own_addr1,,,VARCHAR,40,75,,c00Q01006
parcels,7,own_addr2,,,VARCHAR,36,50,,c00Q01007
parcels,8,own_addr3,,,VARCHAR,31,50,,c00Q01008
parcels,9,own_addr4,,,VARCHAR,23,50,,c00Q01009
parcels,10,own_zip,,,VARCHAR,5,9,,c00Q0100a
parcels,11,situs_juri,,,VARCHAR,2,2,,c00Q0100b
parcels,12,situs_stre,,,VARCHAR,30,30,,c00Q0100c
parcels,13,situs_suff,,,VARCHAR,4,4,,c00Q0100d
parcels,14,situs_post,,,VARCHAR,2,2,,c00Q0100e
parcels,15,situs_pre_,,,VARCHAR,2,2,,c00Q0100f
parcels,16,situs_addr,,,INTEGER,6,10,,c00Q0100g
parcels,17,situs_frac,,,VARCHAR,3,3,,c00Q0100h
parcels,18,situs_buil,,,VARCHAR,,4,,c00Q0100i
parcels,19,situs_suit,,,VARCHAR,6,6,,c00Q0100j
parcels,20,situs_comm,,,VARCHAR,19,28,,c00Q0100k
parcels,21,legldesc,,,VARCHAR,65,65,,c00Q0100l
parcels,22,asr_land,,,INTEGER,9,10,,c00Q0100m
parcels,23,asr_impr,,,INTEGER,9,10,,c00Q0100n
parcels,24,asr_total,,,INTEGER,9,10,,c00Q0100o
parcels,25,doctype,,,VARCHAR,1,1,,c00Q0100p
parcels,26,docnmbr,,,VARCHAR,6,6,,c00Q0100q
parcels,27,docdate,,,VARCHAR,6,8,,c00Q0100r
parcels,28,acreage,,,REAL,,19,,c00Q0100s
parcels,29,taxstat,,,VARCHAR,1,1,,c00Q0100t
parcels,30,ownerocc,,,VARCHAR,1,1,,c00Q0100u
parcels,31,tranum,,,VARCHAR,5,5,,c00Q0100v
parcels,32,asr_zone,,,INTEGER,1,5,,c00Q0100w
parcels,33,asr_landus,,,INTEGER,2,5,,c00Q0100x
parcels,34,unitqty,,,INTEGER,4,5,,c00Q0100y
parcels,35,submap,,,VARCHAR,11,11,,c00Q0100z
parcels,36,subname,,,VARCHAR,64,64,,c00Q0100A
parcels,37,nucleus_zo,,,VARCHAR,2,2,,c00Q0100B
parcels,38,nucleus_us,,,VARCHAR,3,3,,c00Q0100C
parcels,39,addrno,,,INTEGER,5,10,,c00Q0100D
parcels,40,addrfrac,,,VARCHAR,3,3,,c00Q0100E
parcels,41,addrunit,,,VARCHAR,8,8,,c00Q0100F
parcels,42,roadpdir,,,VARCHAR,1,2,,c00Q0100G
parcels,43,roadname,,,VARCHAR,29,30,,c00Q0100H
parcels,44,roadpostd,,,VARCHAR,1,2,,c00Q0100I
parcels,45,roadsfx,,,VARCHAR,4,4,,c00Q0100J
parcels,46,zip,,,VARCHAR,5,5,,c00Q0100K
parcels,47,nucleus_si,,,INTEGER,7,10,,c00Q0100L
parcels,48,nucleus__1,,,INTEGER,6,10,,c00Q0100M
parcels,49,nucleus__2,,,VARCHAR,3,3,,c00Q0100N
parcels,50,situs_zip,,,VARCHAR,10,10,,c00Q0100O
parcels,51,x_coord,,,REAL,,19,,c00Q0100P
parcels,52,y_coord,,,REAL,,19,,c00Q0100Q
parcels,53,multi,,,VARCHAR,1,1,,c00Q0100R
parcels,54,overlay_ju,,,VARCHAR,2,2,,c00Q0100S
parcels,55,sub_type,,,INTEGER,1,5,,c00Q0100T
parcels,56,shape_area,,,REAL,,19,,c00Q0100U
parcels,57,shape_len,,,REAL,,19,,c00Q0100V
parcels,58,geometry,,,MULTIPOLYGON,,,,c00Q0100W
