table,column,is_pk,is_fk,type,default,description
cities_orig,ogc_fid,,,INTEGER,,
cities_orig,geometry,,,POLYGON,,
cities_orig,objectid,,,INTEGER,,
cities_orig,name,,,VARCHAR,,
cities_orig,code,,,VARCHAR,,
cities_orig,orig_fid,,,INTEGER,,
cities_orig,shape_leng,,,FLOAT,,
cities_orig,shape_area,,,FLOAT,,
sdcommunities_orig,ogc_fid,,,INTEGER,,
sdcommunities_orig,geometry,,,MULTIPOLYGON,,
sdcommunities_orig,objectid_1,,,INTEGER,,
sdcommunities_orig,objectid,,,INTEGER,,
sdcommunities_orig,cpcode,,,INTEGER,,
sdcommunities_orig,cpname,,,VARCHAR,,
sdcommunities_orig,acreage,,,FLOAT,,
sdcommunities_orig,shape_leng,,,FLOAT,,
sdcommunities_orig,shape_area,,,FLOAT,,
sdcommunities_orig,shape_len,,,FLOAT,,
sdcouncil_orig,ogc_fid,,,INTEGER,,
sdcouncil_orig,geometry,,,MULTIPOLYGON,,
sdcouncil_orig,objectid,,,INTEGER,,
sdcouncil_orig,district,,,INTEGER,,
sdcouncil_orig,name,,,VARCHAR,,
sdcouncil_orig,phone,,,VARCHAR,,
sdcouncil_orig,website,,,VARCHAR,,
sdcouncil_orig,perimeter,,,FLOAT,,
sdcouncil_orig,area,,,FLOAT,,
sdcouncil_orig,shape_leng,,,FLOAT,,
sdcouncil_orig,shape_area,,,FLOAT,,
sdmad_orig,ogc_fid,,,INTEGER,,
sdmad_orig,geometry,,,MULTIPOLYGON,,
sdmad_orig,objectid,,,INTEGER,,
sdmad_orig,code,,,VARCHAR,,
sdmad_orig,note_,,,VARCHAR,,
sdmad_orig,shape_leng,,,FLOAT,,
sdmad_orig,shape_area,,,FLOAT,,
sdmad_orig,shape_len,,,FLOAT,,
sdneighborhoods_orig,ogc_fid,,,INTEGER,,
sdneighborhoods_orig,geometry,,,MULTIPOLYGON,,
sdneighborhoods_orig,objectid,,,INTEGER,,
sdneighborhoods_orig,name,,,VARCHAR,,
sdneighborhoods_orig,shape_area,,,FLOAT,,
sdneighborhoods_orig,shape_len,,,FLOAT,,
