segclass,funclass,x,y
5,L,6337266.311,1818993.468
5,L,6259006.67,2003840.399
5,L,6259303.074,2004022.525
5,L,6313348.614,1973805.668
5,L,6312864.142,1971661.78
5,L,6313349.821,1973032.511
6,,6316620.246,2008935.72
Z,7,6333225.812,1810083.512
5,L,6236946.01,2011188.993
5,L,6263329.785,1980168.293
5,L,6251708.178,1928317.075
P,P,6370316.281,2061571.266
5,L,6252141.276,1927988.473
7,7,6252162.428,1928119.079
Z,7,6341152.298,1841264.208
M,M,6294150.199,1784829.285
M,M,6297893.562,1787176.096
M,M,6298697.952,1787116.0
M,M,6297113.498,1785927.628
P,P,6289587.404,1787587.547
5,L,6246421.976,1964625.501
5,L,6271680.081,1982425.945
5,L,6272772.48,1982261.769
5,L,6274389.085,1984678.457
5,L,6286090.016,2001364.946
2,6,6272258.552,2000595.102
3,4,6258982.63,2013877.159
Z,7,6257147.438,1921482.196
Z,7,6311665.205,1905258.522
5,L,6286215.0,2004255.003
3,4,6258943.923,2013833.414
4,2,6300684.232,1862750.108
5,L,6289557.881,2000023.234
Z,7,6262957.452,2002395.529
5,L,6282934.573,2005322.708
5,L,6287718.869,1994447.071
5,L,6289608.215,1992041.347
5,L,6249518.681,2035953.131
5,L,6283312.605,1999160.064
5,L,6257094.775,2035578.158
3,4,6257388.499,2022936.991
5,L,6274641.727,1850258.399
5,L,6248721.7,1938078.463
5,L,6266968.452,1980588.871
5,L,6265786.867,1980403.689
5,L,6265956.379,1980655.885
5,L,6248176.425,1946473.806
5,L,6255477.558,1943423.165
5,L,6267873.008,2020000.701
5,L,6298022.16,1847594.774
2,6,6283106.197,2007524.741
5,L,6253544.119,1854777.66
P,P,6380455.976,1959224.609
3,D,6258655.889,2013512.879
5,L,6275866.336,2006095.339
5,L,6283766.38,2004257.112
5,L,6295188.791,1851171.819
5,L,6265269.613,2018128.818
5,L,6265344.363,2018163.496
Z,7,6264144.601,2012212.37
Z,7,6255840.907,1888638.909
5,L,6290389.49,2000071.564
5,L,6290326.012,2000514.36
5,L,6258834.999,2027567.958
5,L,6257081.629,2028540.4
Z,7,6283307.602,2011663.97
5,L,6266966.724,2019512.16
5,L,6278991.722,1850554.937
5,L,6252820.519,1852969.616
Z,7,6271396.89,2004115.815
5,L,6252762.131,1876873.535
5,L,6247967.933,1942124.31
5,L,6256003.8,1886726.922
5,L,6258158.089,2024474.481
5,L,6259677.019,2024783.499
5,L,6256814.242,2023751.15
5,L,6297237.201,1883043.346
5,L,6298539.588,1877684.652
5,L,6248344.092,1889201.974
Z,7,6292221.931,1793265.995
Z,7,6292193.682,1793316.524
Z,7,6292110.848,1792939.816
5,L,6285233.336,2000533.224
5,L,6259665.32,1851855.761
Z,7,6275916.248,1869943.082
W,W,6350152.105,1909353.629
P,P,6289809.989,1789549.904
P,P,6289751.036,1789014.355
5,L,6230401.0,2021710.926
5,L,6230405.231,2021465.07
P,P,6278686.554,1848143.428
4,2,6303190.48,1797287.578
P,P,6378707.739,1960174.088
5,L,6249445.527,1875339.898
5,L,6306612.996,1850489.5
5,L,6254249.84,1855604.12
5,L,6253657.315,1854927.258
Z,7,6299753.93,1907975.158
Z,7,6262210.467,1983145.255
Z,7,6261959.501,1982946.856
5,L,6244759.612,1955297.106
5,U,6482418.404,1919148.238
5,L,6250873.59,2038789.985
6,U,6443652.504,1895398.141
W,W,6343235.103,1806668.651
5,9,6460717.998,1834686.356
5,L,6293653.453,1949154.05
5,L,6294447.178,1950797.77
5,L,6597373.33,1810741.24
5,L,6253777.043,1866493.213
P,P,6246781.923,1961224.217
5,L,6252067.509,1938252.06
5,L,6251428.0,1938780.968
5,L,6251840.245,1938361.165
5,L,6251985.0,1938672.005
Z,7,6253151.245,1938213.562
5,L,6231520.667,2028592.564
Z,7,6246489.341,1962176.555
Z,7,6246604.258,1962427.367
Z,7,6246770.551,1962547.234
5,L,6274341.262,2000685.18
5,L,6276610.594,1999231.519
5,L,6264815.834,1990078.161
Z,7,6261591.11,1982918.575
5,L,6231588.454,2028618.676
5,L,6231738.877,2028676.143
5,L,6249351.506,2036959.574
Z,U,6477373.705,1901792.838
5,L,6248839.175,2037332.663
Z,7,6263615.157,1984320.381
Z,7,6263396.286,1984328.47
5,L,6301173.976,1846959.989
5,L,6255659.698,1850247.579
Z,7,6263557.127,1984322.526
Z,7,6263546.212,1984270.893
5,L,6331459.324,1828643.202
3,4,6263158.115,2024071.675
5,L,6601021.91,1811172.487
5,L,6275502.455,1939460.606
W,W,6343048.422,1807204.468
W,W,6343126.339,1806385.738
4,C,6159101.295,2084221.155
Z,7,6263542.604,1984173.26
