table,column,is_pk,is_fk,type,default,description
codes,codes_id,1,,INTEGER,,
codes,group,,,TEXT,,Category name for the codes
codes,key,,,TEXT,,Code used in the data
codes,value,,,TEXT,,String value for the code
codes,value_id,,,TEXT,,"ID Value, such as geoid of a city."
addresses,ogc_fid,,,INTEGER,,
addresses,geometry,,,POINT,,
addresses,objectid,,,INTEGER,,
addresses,parcelid,,,INTEGER,,
addresses,x_coord,,,FLOAT,,
addresses,y_coord,,,FLOAT,,
addresses,apn,,,VARCHAR,,
addresses,addrnmbr,,,FLOAT,,
addresses,addrfrac,,,VARCHAR,,
addresses,addrpdir,,,VARCHAR,,
addresses,addrname,,,VARCHAR,,
addresses,addrsfx,,,VARCHAR,,
addresses,addrunit,,,VARCHAR,,
addresses,addrjur,,,VARCHAR,,
addresses,addrzip,,,VARCHAR,,
addresses,roadsegid,,,INTEGER,,
addresses,asource,,,VARCHAR,,
roads,ogc_fid,,,INTEGER,,
roads,geometry,,,LINESTRING,,
roads,objectid,,,INTEGER,,
roads,fnode,,,INTEGER,,
roads,tnode,,,INTEGER,,
roads,length,,,FLOAT,,
roads,roadsegid,,,INTEGER,,
roads,postid,,,VARCHAR,,
roads,postdate,,,VARCHAR,,
roads,roadid,,,INTEGER,,
roads,rightway,,,INTEGER,,
roads,addsegdt,,,VARCHAR,,
roads,segstat,,,VARCHAR,,
roads,dedstat,,,VARCHAR,,
roads,funclass,,,VARCHAR,,
roads,oneway,,,VARCHAR,,
roads,subdivid,,,INTEGER,,
roads,segclass,,,VARCHAR,,
roads,ljurisdic,,,VARCHAR,,
roads,llowaddr,,,INTEGER,,
roads,lhighaddr,,,INTEGER,,
roads,rjurisdic,,,VARCHAR,,
roads,rlowaddr,,,INTEGER,,
roads,rhighaddr,,,INTEGER,,
roads,lmixaddr,,,VARCHAR,,
roads,rmixaddr,,,VARCHAR,,
roads,pending,,,VARCHAR,,
roads,abloaddr,,,INTEGER,,
roads,abhiaddr,,,INTEGER,,
roads,nad83n,,,FLOAT,,
roads,nad83e,,,FLOAT,,
roads,speed,,,INTEGER,,
roads,l_zip,,,INTEGER,,
roads,r_zip,,,INTEGER,,
roads,lpsjur,,,VARCHAR,,
roads,rpsjur,,,VARCHAR,,
roads,carto,,,VARCHAR,,
roads,obmh,,,VARCHAR,,
roads,firedriv,,,VARCHAR,,
roads,l_mgra,,,INTEGER,,
roads,r_mgra,,,INTEGER,,
roads,l_block,,,INTEGER,,
roads,r_block,,,INTEGER,,
roads,l_tract,,,INTEGER,,
roads,r_tract,,,INTEGER,,
roads,l_beat,,,INTEGER,,
roads,r_beat,,,INTEGER,,
roads,tbmpage,,,VARCHAR,,
roads,tbmquad,,,VARCHAR,,
roads,tbmgrid,,,VARCHAR,,
roads,frxcoord,,,FLOAT,,
roads,frycoord,,,FLOAT,,
roads,midxcoord,,,FLOAT,,
roads,midycoord,,,FLOAT,,
roads,toxcoord,,,FLOAT,,
roads,toycoord,,,FLOAT,,
roads,f_level,,,INTEGER,,
roads,t_level,,,INTEGER,,
roads,rd20pred,,,VARCHAR,,
roads,rd20name,,,VARCHAR,,
roads,rd20sfx,,,VARCHAR,,
roads,rd20full,,,VARCHAR,,
roads,ruleid,,,INTEGER,,
roads,shape_len,,,FLOAT,,
intersections,ogc_fid,,,INTEGER,,
intersections,geometry,,,POINT,,
intersections,objectid,,,INTEGER,,
intersections,interid,,,INTEGER,,
intersections,x_coord,,,FLOAT,,
intersections,y_coord,,,FLOAT,,
intersections,postid,,,VARCHAR,,
intersections,postdate,,,VARCHAR,,
intersections,dpwintno,,,INTEGER,,
intersections,type,,,VARCHAR,,
intersections,pending,,,VARCHAR,,
intersections,ruleid,,,INTEGER,,
