table,seq,column,is_pk,is_fk,type,size,width,description,id
codes,1,codes_id,1,,INTEGER,,,,c00T01001
codes,2,group,,,TEXT,19,,Category name for the codes,c00T01002
codes,3,key,,,TEXT,32,,Code used in the data,c00T01003
codes,4,value,,,TEXT,40,,String value for the code,c00T01004
codes,5,value_id,,,TEXT,,,"ID Value, such as geoid of a city.",c00T01005
,,,,,,,,,
addresses,1,ogc_fid,1,,INTEGER,,,,c00T02001
addresses,2,objectid,,,INTEGER64,,10,,c00T02002
addresses,3,parcelid,,,INTEGER64,,10,,c00T02003
addresses,4,x_coord,,,NUMERIC,,19,,c00T02004
addresses,5,y_coord,,,NUMERIC,,19,,c00T02005
addresses,6,apn,,,TEXT,,10,,c00T02006
addresses,7,addrnmbr,,,NUMERIC,,19,,c00T02007
addresses,8,addrfrac,,,TEXT,,3,,c00T02008
addresses,9,addrpdir,,,TEXT,,2,,c00T02009
addresses,10,addrname,,,TEXT,,30,,c00T0200a
addresses,11,addrsfx,,,TEXT,,4,,c00T0200b
addresses,12,addrunit,,,TEXT,,8,,c00T0200c
addresses,13,addrjur,,,TEXT,,2,,c00T0200d
addresses,14,addrzip,,,TEXT,,5,,c00T0200e
addresses,15,roadsegid,,,INTEGER64,,10,,c00T0200f
addresses,16,asource,,,TEXT,,1,,c00T0200g
,,,,,,,,,
intersections,1,ogc_fid,1,,INTEGER,,,,c00T03001
intersections,2,objectid,,,INTEGER64,,10,,c00T03002
intersections,3,interid,,,INTEGER64,,10,,c00T03003
intersections,4,x_coord,,,NUMERIC,,19,,c00T03004
intersections,5,y_coord,,,NUMERIC,,19,,c00T03005
intersections,6,postid,,,TEXT,,20,,c00T03006
intersections,7,postdate,,,DATE,,10,,c00T03007
intersections,8,dpwintno,,,INTEGER64,,10,,c00T03008
intersections,9,type,,,TEXT,,1,,c00T03009
intersections,10,pending,,,TEXT,,1,,c00T0300a
intersections,11,ruleid,,,INTEGER64,,10,,c00T0300b
,,,,,,,,,
roads,1,ogc_fid,1,,INTEGER,,,,c00T04001
roads,2,objectid,,,INTEGER64,,10,,c00T04002
roads,3,fnode,,,INTEGER64,,10,,c00T04003
roads,4,tnode,,,INTEGER64,,10,,c00T04004
roads,5,length,,,NUMERIC,,19,,c00T04005
roads,6,roadsegid,,,INTEGER64,,10,,c00T04006
roads,7,postid,,,TEXT,,20,,c00T04007
roads,8,postdate,,,DATE,,10,,c00T04008
roads,9,roadid,,,INTEGER64,,10,,c00T04009
roads,10,rightway,,,INTEGER64,,5,,c00T0400a
roads,11,addsegdt,,,DATE,,10,,c00T0400b
roads,12,segstat,,,TEXT,,1,,c00T0400c
roads,13,dedstat,,,TEXT,,1,,c00T0400d
roads,14,funclass,,,TEXT,,1,,c00T0400e
roads,15,oneway,,,TEXT,,1,,c00T0400f
roads,16,subdivid,,,INTEGER64,,10,,c00T0400g
roads,17,segclass,,,TEXT,,1,,c00T0400h
roads,18,ljurisdic,,,TEXT,,2,,c00T0400i
roads,19,llowaddr,,,INTEGER64,,10,,c00T0400j
